ssuid,shhadid,pnum,monthcode,aage,adob_bmonth,adob_byear,edob_bmonth,tage,tage_ehc,tdob_byear,eothsuprt1yn,eothsuprt2yn,apartotamt,tpartotamt,tkidtotamt,wpfinwgt,uid,supports_parents,supports_children,age_group,generation
38816527762,11,102.0,12.0,1.0,1.0,1.0,7.0,23.0,23.0,1990.0,1.0,2.0,2.0,500.0,0.0,2287.4517032678173,038816527762-102.0,True,False,under 30,Millennials
38860043737,11,102.0,12.0,1.0,1.0,1.0,4.0,35.0,34.0,1979.0,1.0,2.0,1.0,1000.0,0.0,6787.9760061975585,038860043737-102.0,True,False,30-39,Generation x
38860046363,11,101.0,12.0,1.0,1.0,1.0,5.0,32.0,32.0,1981.0,1.0,2.0,1.0,500.0,0.0,4243.456096704605,038860046363-101.0,True,False,30-39,Millennials
38860086884,11,102.0,12.0,1.0,1.0,1.0,9.0,61.0,61.0,1952.0,1.0,2.0,2.0,1200.0,0.0,7691.8224870947415,038860086884-102.0,True,False,60 years and over,Boomer
38860092089,11,103.0,12.0,1.0,1.0,1.0,4.0,22.0,22.0,1991.0,1.0,2.0,1.0,100.0,0.0,5482.2063653595205,038860092089-103.0,True,False,under 30,Millennials
38860092089,11,104.0,12.0,1.0,1.0,1.0,5.0,19.0,19.0,1994.0,1.0,2.0,1.0,100.0,0.0,5310.225585733365,038860092089-104.0,True,False,under 30,Millennials
38860126919,11,103.0,12.0,1.0,1.0,1.0,8.0,17.0,17.0,1996.0,1.0,2.0,1.0,10.0,0.0,2344.978798462933,038860126919-103.0,True,False,under 30,Millennials
38860172061,11,102.0,12.0,1.0,1.0,1.0,5.0,51.0,51.0,1962.0,1.0,2.0,1.0,1200.0,0.0,3040.1412495490795,038860172061-102.0,True,False,50-59,Boomer
38860274650,11,102.0,12.0,1.0,1.0,1.0,4.0,55.0,54.0,1959.0,1.0,2.0,1.0,200.0,0.0,8259.494451116665,038860274650-102.0,True,False,50-59,Boomer
38860302440,11,101.0,12.0,1.0,1.0,1.0,11.0,66.0,66.0,1947.0,1.0,2.0,1.0,2000.0,0.0,1956.1836505819824,038860302440-101.0,True,False,60 years and over,Boomer
38860302829,11,102.0,12.0,1.0,1.0,1.0,10.0,16.0,16.0,1997.0,1.0,2.0,2.0,160.0,0.0,2206.690667451964,038860302829-102.0,True,False,under 30,Gen Z
38860382699,11,101.0,12.0,1.0,1.0,1.0,8.0,31.0,31.0,1982.0,1.0,2.0,1.0,1200.0,0.0,7468.2234378599105,038860382699-101.0,True,False,30-39,Millennials
38860382699,11,102.0,12.0,1.0,1.0,1.0,7.0,33.0,33.0,1980.0,1.0,2.0,1.0,3000.0,0.0,7468.2234378599105,038860382699-102.0,True,False,30-39,Generation x
38860403179,11,104.0,12.0,1.0,1.0,1.0,8.0,24.0,24.0,1989.0,1.0,2.0,1.0,50.0,0.0,2484.657553159419,038860403179-104.0,True,False,under 30,Millennials
38860406691,11,101.0,12.0,1.0,1.0,1.0,12.0,48.0,48.0,1965.0,1.0,2.0,1.0,2400.0,0.0,8354.717174594016,038860406691-101.0,True,False,40-49,Generation x
38860408161,11,105.0,12.0,1.0,1.0,1.0,5.0,46.0,46.0,1967.0,1.0,2.0,2.0,500.0,0.0,3138.666868464226,038860408161-105.0,True,False,40-49,Generation x
38860421925,11,101.0,12.0,1.0,1.0,1.0,10.0,32.0,32.0,1981.0,1.0,2.0,1.0,1000.0,0.0,4041.076358998656,038860421925-101.0,True,False,30-39,Millennials
38860421925,11,102.0,12.0,1.0,1.0,1.0,4.0,36.0,36.0,1977.0,1.0,2.0,1.0,1000.0,0.0,4041.076358998656,038860421925-102.0,True,False,30-39,Generation x
38860421935,11,102.0,12.0,1.0,1.0,1.0,1.0,54.0,53.0,1960.0,1.0,2.0,1.0,5000.0,0.0,3316.4188843059096,038860421935-102.0,True,False,50-59,Boomer
38860533318,11,102.0,12.0,1.0,1.0,1.0,2.0,33.0,32.0,1981.0,1.0,2.0,1.0,5000.0,0.0,2489.313757479101,038860533318-102.0,True,False,30-39,Millennials
38860552401,11,101.0,12.0,1.0,1.0,1.0,9.0,29.0,29.0,1984.0,1.0,2.0,1.0,1000.0,0.0,6446.043213614201,038860552401-101.0,True,False,under 30,Millennials
38860588207,11,101.0,12.0,1.0,1.0,1.0,10.0,22.0,22.0,1991.0,1.0,2.0,1.0,75.0,0.0,4644.116533823116,038860588207-101.0,True,False,under 30,Millennials
38860597591,11,101.0,12.0,1.0,1.0,1.0,6.0,51.0,51.0,1962.0,1.0,2.0,1.0,1000.0,0.0,7211.96832729481,038860597591-101.0,True,False,50-59,Boomer
38860610197,11,101.0,12.0,1.0,1.0,1.0,5.0,35.0,34.0,1979.0,1.0,2.0,1.0,3600.0,0.0,5797.611596434868,038860610197-101.0,True,False,30-39,Generation x
38860610197,11,102.0,12.0,1.0,1.0,1.0,8.0,34.0,34.0,1979.0,1.0,2.0,1.0,3600.0,0.0,5797.611596434868,038860610197-102.0,True,False,30-39,Generation x
38860633720,11,101.0,12.0,1.0,1.0,1.0,6.0,20.0,20.0,1993.0,1.0,2.0,1.0,1800.0,0.0,7812.532425264754,038860633720-101.0,True,False,under 30,Millennials
38860633882,11,101.0,12.0,1.0,1.0,1.0,9.0,37.0,37.0,1976.0,1.0,2.0,1.0,3500.0,0.0,7348.27424105271,038860633882-101.0,True,False,30-39,Generation x
38860633971,11,102.0,12.0,1.0,1.0,1.0,9.0,51.0,51.0,1962.0,1.0,2.0,1.0,2400.0,0.0,5946.396880753713,038860633971-102.0,True,False,50-59,Boomer
38860662549,11,101.0,12.0,1.0,1.0,1.0,8.0,31.0,31.0,1982.0,1.0,2.0,2.0,300.0,0.0,1289.737054376349,038860662549-101.0,True,False,30-39,Millennials
38860814676,11,102.0,12.0,1.0,1.0,1.0,1.0,57.0,56.0,1957.0,1.0,2.0,1.0,3600.0,0.0,4173.4443771917695,038860814676-102.0,True,False,50-59,Boomer
38860814720,11,101.0,12.0,1.0,1.0,1.0,12.0,31.0,31.0,1982.0,1.0,2.0,1.0,4000.0,0.0,6637.0006420008585,038860814720-101.0,True,False,30-39,Millennials
38860847887,11,102.0,12.0,1.0,1.0,1.0,11.0,37.0,37.0,1976.0,1.0,2.0,1.0,1000.0,0.0,3913.7239786645387,038860847887-102.0,True,False,30-39,Generation x
38860848516,11,102.0,12.0,1.0,1.0,1.0,5.0,39.0,39.0,1974.0,1.0,2.0,1.0,1000.0,0.0,4322.551737462321,038860848516-102.0,True,False,30-39,Generation x
38860911470,11,101.0,12.0,1.0,1.0,1.0,4.0,55.0,55.0,1958.0,1.0,2.0,1.0,2600.0,0.0,2014.2633411341512,038860911470-101.0,True,False,50-59,Boomer
38860967259,11,101.0,12.0,1.0,1.0,1.0,6.0,47.0,47.0,1966.0,1.0,2.0,1.0,282.0,0.0,7530.01502680904,038860967259-101.0,True,False,40-49,Generation x
38860995522,11,102.0,12.0,1.0,1.0,1.0,11.0,53.0,53.0,1960.0,1.0,2.0,1.0,4000.0,0.0,7186.711825813579,038860995522-102.0,True,False,50-59,Boomer
38995334267,11,101.0,12.0,1.0,1.0,1.0,9.0,30.0,30.0,1983.0,1.0,2.0,1.0,400.0,0.0,1401.6352139232858,038995334267-101.0,True,False,30-39,Millennials
292092046198,11,103.0,12.0,1.0,1.0,1.0,12.0,18.0,18.0,1995.0,1.0,2.0,2.0,50.0,0.0,3699.930694423576,292092046198-103.0,True,False,under 30,Millennials
292092046198,11,104.0,12.0,1.0,1.0,1.0,4.0,17.0,17.0,1996.0,1.0,2.0,2.0,160.0,0.0,3034.945348002584,292092046198-104.0,True,False,under 30,Millennials
292092408671,11,102.0,12.0,1.0,1.0,1.0,11.0,53.0,53.0,1960.0,1.0,2.0,2.0,7000.0,0.0,3126.1143180293293,292092408671-102.0,True,False,50-59,Boomer
292092408671,11,103.0,12.0,1.0,1.0,1.0,9.0,59.0,59.0,1954.0,1.0,2.0,1.0,12000.0,0.0,3126.1143180293293,292092408671-103.0,True,False,50-59,Boomer
292136418388,11,102.0,12.0,1.0,1.0,1.0,10.0,25.0,25.0,1988.0,1.0,2.0,1.0,120.0,0.0,3456.043053414069,292136418388-102.0,True,False,under 30,Millennials
292136995751,11,102.0,12.0,1.0,1.0,1.0,6.0,40.0,40.0,1973.0,1.0,2.0,1.0,10.0,0.0,3372.335528888088,292136995751-102.0,True,False,40-49,Generation x
292228418751,11,101.0,12.0,1.0,1.0,1.0,3.0,44.0,44.0,1969.0,1.0,2.0,1.0,1000.0,0.0,4099.0117879899235,292228418751-101.0,True,False,40-49,Generation x
292228418751,11,102.0,12.0,1.0,1.0,1.0,11.0,45.0,45.0,1968.0,1.0,2.0,1.0,1000.0,0.0,4099.0117879899235,292228418751-102.0,True,False,40-49,Generation x
292285114058,11,101.0,12.0,1.0,1.0,1.0,8.0,25.0,25.0,1988.0,1.0,2.0,1.0,70.0,0.0,7899.413776151129,292285114058-101.0,True,False,under 30,Millennials
292285114058,11,102.0,12.0,1.0,1.0,1.0,12.0,34.0,34.0,1979.0,1.0,2.0,1.0,70.0,0.0,7899.413776151129,292285114058-102.0,True,False,30-39,Generation x
292285114210,11,101.0,12.0,1.0,1.0,1.0,12.0,26.0,26.0,1987.0,1.0,2.0,1.0,1200.0,0.0,8808.535173932356,292285114210-101.0,True,False,under 30,Millennials
292285136301,11,101.0,12.0,1.0,1.0,1.0,1.0,40.0,39.0,1974.0,1.0,2.0,1.0,5000.0,0.0,5176.338364988609,292285136301-101.0,True,False,40-49,Generation x
292285172431,11,101.0,12.0,1.0,1.0,1.0,10.0,34.0,34.0,1979.0,1.0,2.0,1.0,5000.0,0.0,7637.866749611054,292285172431-101.0,True,False,30-39,Generation x
292285209179,11,101.0,12.0,1.0,1.0,1.0,7.0,55.0,55.0,1958.0,1.0,1.0,1.0,6500.0,8000.0,2048.86613570833,292285209179-101.0,True,True,50-59,Boomer
292285209988,11,101.0,12.0,1.0,1.0,1.0,8.0,38.0,38.0,1975.0,1.0,2.0,1.0,5000.0,0.0,5677.202760833994,292285209988-101.0,True,False,30-39,Generation x
292285342773,11,102.0,12.0,1.0,1.0,1.0,5.0,38.0,38.0,1975.0,1.0,2.0,1.0,3000.0,0.0,6505.93434457556,292285342773-102.0,True,False,30-39,Generation x
292285418414,11,105.0,12.0,1.0,1.0,1.0,2.0,25.0,24.0,1989.0,1.0,2.0,1.0,1800.0,0.0,5724.225546718035,292285418414-105.0,True,False,under 30,Millennials
292285552284,11,101.0,12.0,1.0,1.0,1.0,4.0,28.0,27.0,1986.0,1.0,2.0,2.0,100.0,0.0,8034.630820188346,292285552284-101.0,True,False,under 30,Millennials
292285552778,11,102.0,12.0,1.0,1.0,1.0,1.0,28.0,27.0,1986.0,1.0,2.0,1.0,800.0,0.0,10113.945226814756,292285552778-102.0,True,False,under 30,Millennials
292285828999,11,101.0,12.0,1.0,1.0,1.0,11.0,22.0,22.0,1991.0,1.0,2.0,1.0,500.0,0.0,4250.070568507039,292285828999-101.0,True,False,under 30,Millennials
292285967098,11,101.0,12.0,1.0,1.0,1.0,10.0,41.0,41.0,1972.0,1.0,2.0,1.0,16.0,0.0,5373.126582081871,292285967098-101.0,True,False,40-49,Generation x
292285967651,11,101.0,12.0,1.0,1.0,1.0,10.0,44.0,44.0,1969.0,1.0,2.0,1.0,720.0,0.0,4198.99512408489,292285967651-101.0,True,False,40-49,Generation x
292285988458,11,101.0,12.0,1.0,1.0,1.0,7.0,37.0,37.0,1976.0,1.0,2.0,1.0,4000.0,0.0,4237.627927106714,292285988458-101.0,True,False,30-39,Generation x
292285988458,11,102.0,12.0,1.0,1.0,1.0,1.0,34.0,33.0,1980.0,1.0,2.0,1.0,1000.0,0.0,4237.627927106714,292285988458-102.0,True,False,30-39,Generation x
292359334160,11,101.0,12.0,1.0,1.0,1.0,5.0,39.0,39.0,1974.0,1.0,2.0,1.0,3600.0,0.0,4076.303551196709,292359334160-101.0,True,False,30-39,Generation x
292359418552,11,101.0,12.0,1.0,1.0,1.0,9.0,36.0,36.0,1977.0,1.0,2.0,1.0,12000.0,0.0,2921.2925265551394,292359418552-101.0,True,False,30-39,Generation x
292418092626,11,101.0,12.0,1.0,1.0,1.0,8.0,65.0,65.0,1948.0,1.0,2.0,1.0,3000.0,0.0,2936.369352154908,292418092626-101.0,True,False,60 years and over,Boomer
292418136519,11,101.0,12.0,1.0,1.0,1.0,10.0,67.0,67.0,1946.0,1.0,2.0,1.0,1200.0,0.0,3116.9575079499705,292418136519-101.0,True,False,60 years and over,Boomer
292552068784,11,105.0,12.0,1.0,1.0,1.0,3.0,18.0,17.0,1996.0,1.0,2.0,2.0,160.0,0.0,2937.2552151329364,292552068784-105.0,True,False,under 30,Millennials
292552418127,11,101.0,12.0,1.0,1.0,1.0,10.0,41.0,41.0,1972.0,1.0,2.0,1.0,700.0,0.0,2512.4708483587588,292552418127-101.0,True,False,40-49,Generation x
292552995232,11,101.0,12.0,1.0,1.0,1.0,1.0,49.0,48.0,1965.0,1.0,1.0,1.0,3000.0,4000.0,3486.1499300314845,292552995232-101.0,True,True,40-49,Generation x
292816046388,11,101.0,12.0,1.0,1.0,1.0,1.0,34.0,33.0,1980.0,1.0,2.0,1.0,375.0,0.0,3012.818693474738,292816046388-101.0,True,False,30-39,Generation x
292816344451,11,101.0,12.0,1.0,1.0,1.0,5.0,41.0,41.0,1972.0,1.0,2.0,1.0,1200.0,0.0,2772.202680342481,292816344451-101.0,True,False,40-49,Generation x
292860046301,11,102.0,12.0,1.0,1.0,1.0,2.0,30.0,29.0,1984.0,1.0,2.0,1.0,10.0,0.0,8583.441440629022,292860046301-102.0,True,False,30-39,Millennials
292860057229,11,101.0,12.0,1.0,6.0,1.0,10.0,55.0,55.0,1958.0,1.0,2.0,2.0,280.0,0.0,7813.048420284716,292860057229-101.0,True,False,50-59,Boomer
292860057229,11,102.0,12.0,1.0,6.0,1.0,3.0,50.0,49.0,1964.0,1.0,2.0,2.0,2000.0,0.0,7813.048420284716,292860057229-102.0,True,False,50-59,Boomer
292860068505,11,102.0,12.0,1.0,1.0,1.0,7.0,58.0,58.0,1955.0,1.0,2.0,2.0,4000.0,0.0,1783.5496255882376,292860068505-102.0,True,False,50-59,Boomer
292860068505,11,103.0,12.0,1.0,1.0,1.0,8.0,37.0,37.0,1976.0,1.0,2.0,2.0,5000.0,0.0,1950.688163747356,292860068505-103.0,True,False,30-39,Generation x
292860068505,11,105.0,12.0,1.0,1.0,1.0,10.0,16.0,16.0,1997.0,1.0,2.0,2.0,400.0,0.0,1912.2274926709065,292860068505-105.0,True,False,under 30,Gen Z
292860092414,11,101.0,12.0,1.0,1.0,1.0,6.0,41.0,41.0,1972.0,1.0,2.0,1.0,4800.0,0.0,7960.827717358427,292860092414-101.0,True,False,40-49,Generation x
292860092549,11,101.0,12.0,1.0,1.0,1.0,9.0,32.0,32.0,1981.0,1.0,2.0,1.0,2000.0,0.0,8381.970007360796,292860092549-101.0,True,False,30-39,Millennials
292860101020,11,101.0,12.0,1.0,1.0,1.0,11.0,69.0,69.0,1944.0,1.0,1.0,1.0,2400.0,2400.0,4872.22673787277,292860101020-101.0,True,True,60 years and over,Silent
292860136932,11,101.0,12.0,1.0,1.0,1.0,11.0,49.0,49.0,1964.0,1.0,2.0,1.0,3600.0,0.0,7611.113523641547,292860136932-101.0,True,False,40-49,Boomer
292860138018,11,101.0,12.0,1.0,1.0,1.0,4.0,47.0,46.0,1967.0,1.0,1.0,1.0,1200.0,4800.0,2791.986859833105,292860138018-101.0,True,True,40-49,Generation x
292860172501,11,101.0,12.0,1.0,1.0,1.0,6.0,41.0,41.0,1972.0,1.0,2.0,1.0,200.0,0.0,9284.382354472687,292860172501-101.0,True,False,40-49,Generation x
292860172857,11,101.0,12.0,1.0,1.0,1.0,3.0,24.0,23.0,1990.0,1.0,2.0,1.0,50.0,0.0,11328.360095832728,292860172857-101.0,True,False,under 30,Millennials
292860204018,11,101.0,12.0,1.0,1.0,1.0,7.0,32.0,32.0,1981.0,1.0,2.0,1.0,600.0,0.0,3298.5872757601423,292860204018-101.0,True,False,30-39,Millennials
292860204720,11,101.0,12.0,1.0,1.0,1.0,5.0,54.0,54.0,1959.0,1.0,2.0,1.0,2400.0,0.0,7132.647810641659,292860204720-101.0,True,False,50-59,Boomer
292860209671,11,101.0,12.0,1.0,1.0,1.0,5.0,34.0,34.0,1979.0,1.0,2.0,1.0,1000.0,0.0,2123.704275391512,292860209671-101.0,True,False,30-39,Generation x
292860215160,11,101.0,12.0,1.0,1.0,1.0,4.0,50.0,49.0,1964.0,1.0,2.0,1.0,2000.0,0.0,2680.8540980989264,292860215160-101.0,True,False,50-59,Boomer
292860215638,11,101.0,12.0,1.0,1.0,1.0,2.0,44.0,43.0,1970.0,1.0,2.0,1.0,5000.0,0.0,9537.471795335234,292860215638-101.0,True,False,40-49,Generation x
292860215671,11,102.0,12.0,1.0,1.0,1.0,6.0,49.0,49.0,1964.0,1.0,2.0,1.0,780.0,0.0,2173.2599351754,292860215671-102.0,True,False,40-49,Boomer
292860215671,11,105.0,12.0,1.0,1.0,1.0,9.0,38.0,38.0,1975.0,1.0,2.0,1.0,100.0,0.0,2048.3625819543104,292860215671-105.0,True,False,30-39,Generation x
292860215784,11,101.0,12.0,1.0,1.0,1.0,7.0,51.0,51.0,1962.0,1.0,2.0,1.0,240.0,0.0,2243.825969519078,292860215784-101.0,True,False,50-59,Boomer
292860215891,11,101.0,12.0,1.0,1.0,1.0,9.0,61.0,61.0,1952.0,1.0,2.0,1.0,280.0,0.0,7419.9681270580995,292860215891-101.0,True,False,60 years and over,Boomer
292860215891,11,102.0,12.0,1.0,1.0,1.0,10.0,59.0,59.0,1954.0,1.0,2.0,1.0,280.0,0.0,7419.9681270580995,292860215891-102.0,True,False,50-59,Boomer
292860285142,11,101.0,12.0,1.0,1.0,1.0,1.0,22.0,21.0,1992.0,1.0,2.0,2.0,125.0,0.0,6196.859319988927,292860285142-101.0,True,False,under 30,Millennials
292860285142,11,102.0,12.0,1.0,1.0,1.0,8.0,31.0,31.0,1982.0,1.0,1.0,2.0,250.0,121.0,6928.045617084323,292860285142-102.0,True,True,30-39,Millennials
292860285142,11,103.0,12.0,1.0,6.0,1.0,1.0,33.0,32.0,1981.0,1.0,1.0,2.0,250.0,121.0,6928.045617084323,292860285142-103.0,True,True,30-39,Millennials
292860285142,11,104.0,12.0,1.0,6.0,1.0,7.0,25.0,25.0,1988.0,1.0,2.0,2.0,125.0,0.0,6826.889019348402,292860285142-104.0,True,False,under 30,Millennials
292860344486,11,102.0,12.0,1.0,1.0,1.0,2.0,46.0,45.0,1968.0,1.0,2.0,1.0,3000.0,0.0,6131.63313875924,292860344486-102.0,True,False,40-49,Generation x
